Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent
GUT_GENOME000980	AF19-9LB	CGR	Isolate	6045748	95	236844	50.17	99.37	0	0	99.67	99.79	20	GCA_003434055	GUT_GENOME000980	MGYG-HGUT-00179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__	SAMN09734406	PRJNA482748	China	Asia
GUT_GENOME000984	AF20-14LB	CGR	Isolate	2453441	69	108838	59.81	100	1.61	94.12	99.61	99.45	20	GCA_003459505	GUT_GENOME000984	MGYG-HGUT-00180	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734410	PRJNA482748	China	Asia
GUT_GENOME000994	AF21-14LB	CGR	Isolate	2697624	143	46538	40.92	96.04	0.84	0	99.67	99.62	19	GCA_003458885	GUT_GENOME000994	MGYG-HGUT-00181	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9414;s__	SAMN09734420	PRJNA482748	China	Asia
GUT_GENOME000996	AF21-1AC	CGR	Isolate	2581439	87	64626	56.58	100	0.08	0	99.74	99.76	20	GCA_003458855	GUT_GENOME000996	MGYG-HGUT-00182	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__	SAMN09734422	PRJNA482748	China	Asia
GUT_GENOME001003	AF21-41	CGR	Isolate	5449792	82	213893	42.89	99.46	0	89.08	86.69	99.42	20	GCA_003461145	GUT_GENOME001003	MGYG-HGUT-00183	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas sp002161485	SAMN09734429	PRJNA482748	China	Asia
GUT_GENOME001004	AF21-42	CGR	Isolate	3628747	81	130637	42.44	99.37	0	83.19	93.48	99.66	20	GCA_003478765	GUT_GENOME001004	MGYG-HGUT-00184	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	SAMN09734430	PRJNA482748	China	Asia
GUT_GENOME001016	AF22-28AC	CGR	Isolate	3233021	121	68275	53.23	99.92	0.67	0	92.5	80.68	20	GCA_003478905	GUT_GENOME001016	MGYG-HGUT-00185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens	SAMN09734442	PRJNA482748	China	Asia
GUT_GENOME001022	AF22-8LB	CGR	Isolate	2275832	84	78341	33.97	98.11	1.25	94.96	99.67	99.73	20	GCA_003458715	GUT_GENOME001022	MGYG-HGUT-00186	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__	SAMN09734448	PRJNA482748	China	Asia
GUT_GENOME001023	AF22-9	CGR	Isolate	2811232	150	56077	37.74	98.08	0.67	0	99.67	98.15	20	GCA_003458705	GUT_GENOME001023	MGYG-HGUT-00187	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003537285	SAMN09734449	PRJNA482748	China	Asia
GUT_GENOME001026	AF23-4AC	CGR	Isolate	2273593	55	96357	59.84	100	0.81	94.12	99.61	99.45	20	GCA_003462685	GUT_GENOME001026	MGYG-HGUT-00188	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734452	PRJNA482748	China	Asia
GUT_GENOME001027	AF23-6LB	CGR	Isolate	2889208	11	578091	41.5	99.33	0	0	99.74	99.79	20	GCA_003461085	GUT_GENOME001027	MGYG-HGUT-00189	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus sp900066115	SAMN09734454	PRJNA482748	China	Asia
GUT_GENOME001029	AF23-8	CGR	Isolate	2845836	13	382710	44.04	98.66	0	0	99.67	99.79	20	GCA_003478665	GUT_GENOME001029	MGYG-HGUT-00190	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	SAMN09734455	PRJNA482748	China	Asia
GUT_GENOME001039	AF24-19	CGR	Isolate	2911495	134	64429	47.42	100	0	95.8	99.74	99.79	20	GCA_003459195	GUT_GENOME001039	MGYG-HGUT-00191	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Bacillus_E;s__Bacillus_E coagulans	SAMN09734463	PRJNA482748	China	Asia
GUT_GENOME001046	AF24-29	CGR	Isolate	3745157	58	141113	50.06	100	0.32	0	99.67	99.66	20	GCA_003459085	GUT_GENOME001046	MGYG-HGUT-00192	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__Holdemania filiformis	SAMN09734472	PRJNA482748	China	Asia
GUT_GENOME001056	AF25-13AC	CGR	Isolate	4118824	145	84703	41.46	97.47	1.9	82.35	94.65	88.27	19	GCA_003478935	GUT_GENOME001056	MGYG-HGUT-00193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615 sp900066985	SAMN09734483	PRJNA482748	China	Asia
GUT_GENOME001105	AF27-2AA	CGR	Isolate	3576300	112	82426	48.42	98.73	1.9	82.35	94.06	93.03	20	GCA_003478505	GUT_GENOME001105	MGYG-HGUT-00194	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	SAMN09734531	PRJNA482748	China	Asia
GUT_GENOME001115	AF28-13AC	CGR	Isolate	3389938	44	301357	56.23	100	0	94.12	99.74	99.83	20	GCA_003478405	GUT_GENOME001115	MGYG-HGUT-00195	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E	SAMN09734542	PRJNA482748	China	Asia
GUT_GENOME001120	AF28-2	CGR	Isolate	6398192	84	188420	43.19	99.41	0	94.96	99.67	99.56	20	GCA_003457815	GUT_GENOME001120	MGYG-HGUT-00196	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	SAMN09734544	PRJNA482748	China	Asia
GUT_GENOME001122	AF28-5AC	CGR	Isolate	2367448	57	134306	59.89	100	0.81	94.12	99.61	99.45	20	GCA_003457875	GUT_GENOME001122	MGYG-HGUT-00197	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734548	PRJNA482748	China	Asia
GUT_GENOME001135	AF29-4	CGR	Isolate	6476857	92	371060	49.48	99.37	0	80.67	99.67	99.83	20	GCA_003433945	GUT_GENOME001135	MGYG-HGUT-00198	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M citroniae	SAMN09734561	PRJNA482748	China	Asia
GUT_GENOME001139	AF30-12BH	CGR	Isolate	2066400	19	278399	42.2	99.92	0	94.12	99.74	99.76	20	GCA_003475645	GUT_GENOME001139	MGYG-HGUT-00199	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_B	SAMN09734566	PRJNA482748	China	Asia
GUT_GENOME001147	AF31-16BH	CGR	Isolate	4193901	130	97316	41.24	99.37	0	0	99.67	99.66	18	GCA_003477985	GUT_GENOME001147	MGYG-HGUT-00200	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	SAMN09734574	PRJNA482748	China	Asia
GUT_GENOME001159	AF31-8BH	CGR	Isolate	4594448	72	218554	43.94	99.37	0	0	93.09	99.66	19	GCA_003460605	GUT_GENOME001159	MGYG-HGUT-00201	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066145	SAMN09734585	PRJNA482748	China	Asia
GUT_GENOME001177	AF33-28	CGR	Isolate	5162894	54	267161	49.77	98.82	2.06	0	92.89	99.83	20	GCA_003477885	GUT_GENOME001177	MGYG-HGUT-00202	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	SAMN09734603	PRJNA482748	China	Asia
GUT_GENOME001189	AF34-33	CGR	Isolate	4538387	100	133512	42.32	99.46	0	92.44	99.67	94.6	20	GCA_003475685	GUT_GENOME001189	MGYG-HGUT-00203	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas virosa	SAMN09734615	PRJNA482748	China	Asia
GUT_GENOME001190	AF34-35BH	CGR	Isolate	2669720	39	244201	33.44	99.33	0	81.51	99.67	99.79	19	GCA_003477765	GUT_GENOME001190	MGYG-HGUT-00204	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp000435815	SAMN09734616	PRJNA482748	China	Asia
GUT_GENOME001208	AF36-10	CGR	Isolate	3701433	126	117608	47.99	100	0	81.51	81.87	99.76	20	GCA_003604275	GUT_GENOME001208	MGYG-HGUT-00205	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	SAMN09734633	PRJNA482748	China	Asia
GUT_GENOME001213	AF36-15AT	CGR	Isolate	2953343	28	311487	43.24	99.22	1.75	0	99.61	99.62	19	GCA_003477705	GUT_GENOME001213	MGYG-HGUT-00206	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp900066555	SAMN09734640	PRJNA482748	China	Asia
GUT_GENOME001223	AF36-3AT	CGR	Isolate	2229859	36	166526	59.82	100	1.61	94.12	99.61	99.45	20	GCA_003475205	GUT_GENOME001223	MGYG-HGUT-00207	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SAMN09734650	PRJNA482748	China	Asia
GUT_GENOME001239	AF37-4	CGR	Isolate	2761059	37	299404	34.42	99.33	0	0	99.67	99.79	19	GCA_003475105	GUT_GENOME001239	MGYG-HGUT-00208	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G ventriosum	SAMN09734665	PRJNA482748	China	Asia
GUT_GENOME001241	AF37-5	CGR	Isolate	3108504	76	103900	40.28	98.66	0	0	99.61	99.86	19	GCA_003477605	GUT_GENOME001241	MGYG-HGUT-00209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	SAMN09734666	PRJNA482748	China	Asia
GUT_GENOME001245	AF37-9	CGR	Isolate	2262148	107	51857	59.72	100	1.61	94.12	99.61	99.45	20	GCA_003475115	GUT_GENOME001245	MGYG-HGUT-00210	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734671	PRJNA482748	China	Asia
GUT_GENOME001255	AF39-11AC	CGR	Isolate	6486935	57	432377	42.35	99.13	0.37	94.96	99.67	99.59	20	GCA_003474285	GUT_GENOME001255	MGYG-HGUT-00211	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis_A	SAMN09734683	PRJNA482748	China	Asia
GUT_GENOME001261	AF39-4	CGR	Isolate	3683636	36	441515	41.27	99.37	0	0	86.17	99.59	20	GCA_003474255	GUT_GENOME001261	MGYG-HGUT-00212	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	SAMN09734687	PRJNA482748	China	Asia
GUT_GENOME001270	AF41-9	CGR	Isolate	4353931	168	66505	42.2	98.73	0.13	82.35	93.09	66.7	20	GCA_003477525	GUT_GENOME001270	MGYG-HGUT-00213	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	SAMN09734696	PRJNA482748	China	Asia
GUT_GENOME001274	AF42-16	CGR	Isolate	2034194	120	32793	38.77	100	0	0	99.67	99.69	20	GCA_003474105	GUT_GENOME001274	MGYG-HGUT-00214	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar_A	SAMN09734700	PRJNA482748	China	Asia
GUT_GENOME001282	AF42-9	CGR	Isolate	3119668	152	40071	48.89	97.9	0	95.8	99.67	99.45	20	GCA_003473415	GUT_GENOME001282	MGYG-HGUT-00215	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella stercorea	SAMN09734707	PRJNA482748	China	Asia
GUT_GENOME001295	AF46-10NS	CGR	Isolate	3678248	144	71806	42.99	96.68	0.32	0	81.34	98.15	20	GCA_003474435	GUT_GENOME001295	MGYG-HGUT-00216	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	SAMN09734721	PRJNA482748	China	Asia
GUT_GENOME001297	AF46-12NS	CGR	Isolate	3655059	84	104762	46.58	98.26	1.45	0	99.61	99.83	20	GCA_003435855	GUT_GENOME001297	MGYG-HGUT-00217	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066565	SAMN09734723	PRJNA482748	China	Asia
GUT_GENOME001309	AM05-11	CGR	Isolate	2600664	91	91767	53.28	99.38	1.2	0	99.74	96.03	20	GCA_003472805	GUT_GENOME001309	MGYG-HGUT-00218	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus sp900291475	SAMN09734736	PRJNA482748	China	Asia
GUT_GENOME001312	AM05-23	CGR	Isolate	4239381	41	306801	47.57	99.3	0	93.28	99.74	99.76	19	GCA_003477535	GUT_GENOME001312	MGYG-HGUT-00219	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum_A	SAMN09734738	PRJNA482748	China	Asia
GUT_GENOME001315	AM07-15	CGR	Isolate	3019414	57	137921	55.31	95.97	0.67	87.39	99.74	99.86	20	GCA_003477405	GUT_GENOME001315	MGYG-HGUT-00220	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__;s__	SAMN09734741	PRJNA482748	China	Asia
GUT_GENOME001316	AM07-16	CGR	Isolate	3481737	50	213623	40.48	99.62	0.26	94.12	99.67	99.42	20	GCA_003472765	GUT_GENOME001316	MGYG-HGUT-00221	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides bouchesdurhonensis	SAMN09734742	PRJNA482748	China	Asia
GUT_GENOME001324	AM08-6	CGR	Isolate	4190499	134	93184	41.55	99.42	0.58	0	99.67	99.52	20	GCA_003473295	GUT_GENOME001324	MGYG-HGUT-00222	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	SAMN09734750	PRJNA482748	China	Asia
GUT_GENOME001340	AM10-20	CGR	Isolate	4369127	148	139329	35.26	100	0	0	99.67	99.73	20	GCA_003433755	GUT_GENOME001340	MGYG-HGUT-00223	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__	SAMN09734767	PRJNA482748	China	Asia
GUT_GENOME001341	AM10-21B	CGR	Isolate	3747340	29	353987	44.18	98.88	0	94.96	99.67	99.59	20	GCA_003472565	GUT_GENOME001341	MGYG-HGUT-00224	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp003545565	SAMN09734768	PRJNA482748	China	Asia
GUT_GENOME001354	AM11-39	CGR	Isolate	2227680	36	245762	55.62	98.75	0.62	0	99.61	99.79	20	GCA_003472385	GUT_GENOME001354	MGYG-HGUT-00225	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__	SAMN09734780	PRJNA482748	China	Asia
GUT_GENOME001355	AM11-49	CGR	Isolate	2363136	15	355612	34.91	100	0.76	90.76	99.74	99.73	20	GCA_003472365	GUT_GENOME001355	MGYG-HGUT-00226	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	SAMN09734781	PRJNA482748	China	Asia
GUT_GENOME001364	AM12-57B	CGR	Isolate	4783836	75	282690	45.03	99.59	1.18	94.96	99.67	99.83	19	GCA_003473165	GUT_GENOME001364	MGYG-HGUT-00227	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus sonorensis	SAMN09734790	PRJNA482748	China	Asia
GUT_GENOME001372	AM13-34	CGR	Isolate	2361277	88	81940	59.8	100	1.61	94.12	87.87	99.45	20	GCA_003473055	GUT_GENOME001372	MGYG-HGUT-00228	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SAMN09734798	PRJNA482748	China	Asia
GUT_GENOME001373	AM13-35	CGR	Isolate	2785932	19	221515	41.42	95.91	0	0	99.67	94.12	20	GCA_003473885	GUT_GENOME001373	MGYG-HGUT-00229	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000433215	SAMN09734799	PRJNA482748	China	Asia
GUT_GENOME001376	AM13-9	CGR	Isolate	1982534	21	191523	38.32	99.62	0	93.28	99.74	99.73	20	GCA_003433825	GUT_GENOME001376	MGYG-HGUT-00230	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus petauri	SAMN09734802	PRJNA482748	China	Asia
GUT_GENOME001379	AM14-16	CGR	Isolate	3050494	21	729358	43.8	99.33	0	0	99.74	99.79	20	GCA_003434675	GUT_GENOME001379	MGYG-HGUT-00231	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus_A	SAMN09734806	PRJNA482748	China	Asia
GUT_GENOME001400	AM16-21	CGR	Isolate	2318168	64	112171	59.95	100	0.81	94.12	99.61	99.45	20	GCA_003471905	GUT_GENOME001400	MGYG-HGUT-00232	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734827	PRJNA482748	China	Asia
GUT_GENOME001401	AM16-23	CGR	Isolate	3326251	47	153643	48.81	100	0	81.51	99.61	87.01	20	GCA_003473865	GUT_GENOME001401	MGYG-HGUT-00233	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066785	SAMN09734828	PRJNA482748	China	Asia
GUT_GENOME001416	AM17-17	CGR	Isolate	2258659	64	391232	33.87	99.45	0.28	94.96	99.74	99.83	20	GCA_003471765	GUT_GENOME001416	MGYG-HGUT-00234	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;s__Vagococcus teuberi	SAMN09734843	PRJNA482748	China	Asia
GUT_GENOME001417	AM17-18	CGR	Isolate	4918589	76	166225	55.12	99.7	0.65	95.8	99.67	99.86	19	GCA_003434465	GUT_GENOME001417	MGYG-HGUT-00235	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei	SAMN09734844	PRJNA482748	China	Asia
GUT_GENOME001418	AM17-19	CGR	Isolate	5355895	76	141686	43.39	99.26	0	94.96	99.67	99.62	20	GCA_003471745	GUT_GENOME001418	MGYG-HGUT-00236	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_A	SAMN09734845	PRJNA482748	China	Asia
GUT_GENOME001419	AM17-1	CGR	Isolate	2323738	59	84237	59.96	100	0.81	94.12	99.61	99.45	20	GCA_003470665	GUT_GENOME001419	MGYG-HGUT-00237	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734842	PRJNA482748	China	Asia
GUT_GENOME001422	AM17-31	CGR	Isolate	3500315	57	134591	42.41	99.25	0.22	94.96	99.67	99.79	20	GCA_003471685	GUT_GENOME001422	MGYG-HGUT-00238	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus	SAMN09734848	PRJNA482748	China	Asia
GUT_GENOME001432	AM18-10	CGR	Isolate	2299279	54	85049	59.66	100	0.81	94.12	99.61	99.45	20	GCA_003471585	GUT_GENOME001432	MGYG-HGUT-00239	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	SAMN09734858	PRJNA482748	China	Asia
GUT_GENOME001440	AM18-26	CGR	Isolate	2627858	162	33474	33.75	100	0	0	99.67	99.76	20	GCA_003473755	GUT_GENOME001440	MGYG-HGUT-00240	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Absiella;s__	SAMN09734867	PRJNA482748	China	Asia
GUT_GENOME001443	AM18-2	CGR	Isolate	2655152	73	78220	62.88	100	0.59	94.12	99.61	99.73	20	GCA_003470605	GUT_GENOME001443	MGYG-HGUT-00241	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	SAMN09734866	PRJNA482748	China	Asia
GUT_GENOME001471	AM22-11AC	CGR	Isolate	3796378	64	124336	44.08	99.37	0.63	0	99.61	99.83	20	GCA_003473545	GUT_GENOME001471	MGYG-HGUT-00242	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M sp000431375	SAMN09734898	PRJNA482748	China	Asia
GUT_GENOME001488	AM22-3LB	CGR	Isolate	3948759	80	136537	42.1	99.26	0.19	94.96	99.67	99.59	20	GCA_003435685	GUT_GENOME001488	MGYG-HGUT-00243	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B massiliensis	SAMN09734914	PRJNA482748	China	Asia
GUT_GENOME001490	AM22-6LB	CGR	Isolate	2465249	156	32687	33.79	100	0	73.11	99.61	99.83	18	GCA_003435615	GUT_GENOME001490	MGYG-HGUT-00244	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium sp000437715	SAMN09734916	PRJNA482748	China	Asia
GUT_GENOME001506	AM23-20	CGR	Isolate	4146572	109	116188	41.67	99.03	0.36	0	99.61	99.83	20	GCA_003470905	GUT_GENOME001506	MGYG-HGUT-00245	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	SAMN09736284	PRJNA482748	China	Asia
GUT_GENOME001519	AM24-4	CGR	Isolate	2160053	22	499479	37.29	100	0	94.12	99.74	99.76	20	GCA_003433685	GUT_GENOME001519	MGYG-HGUT-00246	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	SAMN09736296	PRJNA482748	China	Asia
GUT_GENOME001538	AM25-33	CGR	Isolate	1726549	8	1117702	62.62	100	0	94.12	99.61	99.42	20	GCA_003469765	GUT_GENOME001538	MGYG-HGUT-00247	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella intestinalis	SAMN09736316	PRJNA482748	China	Asia
GUT_GENOME001573	AM27-22LB	CGR	Isolate	2506446	21	239405	44.77	98.77	0.61	94.12	99.67	99.83	19	GCA_003469985	GUT_GENOME001573	MGYG-HGUT-00248	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	SAMN09736351	PRJNA482748	China	Asia
GUT_GENOME001575	AM27-27	CGR	Isolate	3112336	35	229948	40.48	99.12	0	0	99.67	99.62	20	GCA_003462225	GUT_GENOME001575	MGYG-HGUT-00249	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena faecis	SAMN09736353	PRJNA482748	China	Asia
GUT_GENOME001578	AM27-31LB	CGR	Isolate	3613808	54	310738	36.73	98.66	0	83.19	99.61	98.32	20	GCA_003480745	GUT_GENOME001578	MGYG-HGUT-00250	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp001414325	SAMN09736355	PRJNA482748	China	Asia
GUT_GENOME001587	AM28-10	CGR	Isolate	3785263	64	205409	47.09	98.95	0.63	0	99.67	99.62	20	GCA_003480695	GUT_GENOME001587	MGYG-HGUT-00251	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__Fusicatenibacter saccharivorans	SAMN09736365	PRJNA482748	China	Asia
GUT_GENOME001598	AM28-23	CGR	Isolate	3617599	91	174361	42.28	99.37	0	0	99.67	99.59	19	GCA_003469845	GUT_GENOME001598	MGYG-HGUT-00252	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum_B	SAMN09736374	PRJNA482748	China	Asia
GUT_GENOME001602	AM28-29	CGR	Isolate	2518043	287	25060	34.6	98.11	1.11	94.96	99.67	99.73	20	GCA_003469815	GUT_GENOME001602	MGYG-HGUT-00253	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__Holdemanella sp002299315	SAMN09736378	PRJNA482748	China	Asia
